SHAPE_ID,MBTA_ROUTE,STOP_ID
080011,08,11802
080011,08,11803
080011,08,1804
470034,47,5090
470034,47,10015
470034,47,1790
3500034,350,1675
3500034,350,1676
3500034,350,1677
3500034,350,1678
3500034,350,1679
3500034,350,1680
3500034,350,1681
470034,47,1791
470034,47,11792
080012,08,899
080012,08,8993
080012,08,1518
070010,07,244
070010,07,246
070010,07,208
080012,08,1519
080012,08,1520
080012,08,1777
080012,08,1778
080012,08,1779
080012,08,1780
080012,08,11780
620010,62,8441
620010,62,8442
620010,62,8443
620010,62,8444
620010,62,8445
620010,62,8446
620010,62,8447
620010,62,8448
620010,62,8449
620010,62,8450
620010,62,8451
620010,62,8452
620010,62,8453
620010,62,8454
620010,62,8455
620010,62,8456
620010,62,8457
620010,62,8458
620010,62,8459
620010,62,8460
620010,62,8461
620010,62,8462
620010,62,8463
620010,62,8464
620019,62,141
620019,62,2480
620019,62,2482
620019,62,2353
100010,10,10015
100010,10,5089
100010,10,855
100010,10,8
100010,10,20009
100010,10,30009
100010,10,131
100010,10,40009
100010,10,10010
100010,10,13
100010,10,14
100010,10,15
100010,10,16
100010,10,17
100010,10,18
100010,10,19
100010,10,20
100010,10,21
100010,10,22
100010,10,23
100010,10,24
100010,10,25
100010,10,26
100010,10,27
100010,10,28
100010,10,29
050009,05,30
040008,04,30249
040008,04,30256
040008,04,210
040008,04,212
040008,04,890
040008,04,891
040008,04,892
040008,04,221
040008,04,222
040008,04,223
040008,04,30233
040008,04,224
040008,04,225
160026,16,875
160034,16,13
160034,16,11241
160034,16,11242
160034,16,11243
160034,16,10134
160034,16,133
160034,16,134
160034,16,362
160034,16,2910
160034,16,2911
160034,16,2912
160025,16,875
160025,16,520
160003,16,875
160026,16,520
160026,16,521
160026,16,522
160026,16,10522
920019,92,2822
